Id,Label,d0,Degree,Weighted Degree,modularity_class,clustering,triangles
limbs not warm,limbs not warm,symptom,9,9,204,0.638889,23
lack of energy with reluctance to speak,lack of energy with reluctance to speak,symptom,7,7,204,1,21
dizziness with a desire to lie down,dizziness with a desire to lie down,symptom,7,7,204,1,21
poor appetite with loose stools,poor appetite with loose stools,symptom,7,7,204,1,21
pale facial complexion,pale facial complexion,symptom,7,7,204,1,21
dysarthria due to spasm,dysarthria due to spasm,symptom,7,7,31,1,21
neck muscle tone disorders,neck muscle tone disorders,symptom,7,7,31,1,21
unilateral muscle tone disorder,unilateral muscle tone disorder,symptom,7,7,31,1,21
indistinct discernment,indistinct discernment,symptom,1,1,31,0,0
low pulse pressure,low pulse pressure,symptom,9,9,79,1,36
reverse pulsation,reverse pulsation,symptom,9,9,79,1,36
years of cohabitation without conception,years of cohabitation without conception,symptom,3,3,162,1,3
ovulation monitoring,ovulation monitoring,symptom,3,3,162,1,3
patent fallopian tubes,patent fallopian tubes,symptom,3,3,162,1,3
and detected immune antibodies,and detected immune antibodies,symptom,3,3,162,1,3
nodular bursa,nodular bursa,symptom,1,1,31,0,0
prolapse of the gastric mucosa,prolapse of the gastric mucosa,symptom,10,10,51,1,45
oculomotor nerve paralysis,oculomotor nerve paralysis,symptom,10,10,1,0.577778,26
small intestine distension with gas,small intestine distension with gas,symptom,16,16,51,1,120
the common symptoms include significant pain,the common symptoms include significant pain,symptom,4,4,1,1,6
protrusion of the eyeball forward,protrusion of the eyeball forward,symptom,4,4,1,1,6
downward,downward,symptom,4,4,1,1,6
motility deficiency,motility deficiency,symptom,4,4,1,1,6
numbness on the outer part of the thigh,numbness on the outer part of the thigh,symptom,22,22,31,1,231
sensations of crawling on the skin,sensations of crawling on the skin,symptom,22,22,31,1,231
decreased sweating,decreased sweating,symptom,22,22,31,1,231
reduced or absent superficial sensation,reduced or absent superficial sensation,symptom,32,33,31,0.653226,324
reduced pain,reduced pain,symptom,22,22,31,1,231
temperature sensation while pressure sensation remains,temperature sensation while pressure sensation remains,symptom,22,22,31,1,231
and sensory impairment,and sensory impairment,symptom,22,22,31,1,231
gastric discomfort,gastric discomfort,symptom,75,91,51,0.465225,1291
the lesion is characterized by a depigmented halo or ring surrounding a melanocytic nevus,the lesion is characterized by a depigmented halo or ring surrounding a melanocytic nevus,symptom,2,2,163,1,1
occasionally accompanied by inflammatory phenomena such as erythema or crusting. it may resolve on its own after several months,occasionally accompanied by inflammatory phenomena such as erythema or crusting. it may resolve on its own after several months,symptom,2,2,163,1,1
but the central nevus may not fade even if inflammation is present,but the central nevus may not fade even if inflammation is present,symptom,2,2,163,1,1
numbness of the limb at the injury site,numbness of the limb at the injury site,symptom,3,3,0,1,3
ischemic necrosis,ischemic necrosis,symptom,4,4,0,0.5,3
aseptic necrosis of the internal condyle of the tibia,aseptic necrosis of the internal condyle of the tibia,symptom,8,8,207,1,28
“duck” gait,“duck” gait,symptom,8,8,207,1,28
abnormal bowel frequency,abnormal bowel frequency,symptom,21,23,51,0.733333,154
yellow watery diarrhea with floccules,yellow watery diarrhea with floccules,symptom,8,8,51,1,28
stool with green color,stool with green color,symptom,8,8,51,1,28
generalized pain,generalized pain,symptom,16,16,0,0.575,69
swollen glands,swollen glands,symptom,3,3,0,1,3
out-toeing,out-toeing,symptom,0,0,164,0,0
muscle soreness throughout the body,muscle soreness throughout the body,symptom,17,17,0,1,136
subcutaneous ecchymosis,subcutaneous ecchymosis,symptom,34,38,207,0.434938,244
skin damage,skin damage,symptom,14,15,100,0.472527,43
hemodynamic disturbances,hemodynamic disturbances,symptom,16,18,79,0.775,93
lack of sexual desire,lack of sexual desire,symptom,4,4,80,1,6
lack of genital response,lack of genital response,symptom,4,4,80,1,6
lack of pleasure,lack of pleasure,symptom,4,4,80,1,6
subarachnoid hemorrhage,subarachnoid hemorrhage,symptom,3,3,31,1,3
pineal region mass,pineal region mass,symptom,3,3,31,1,3
and hydrocephalus,and hydrocephalus,symptom,3,3,31,1,3
rough skin on the limbs,rough skin on the limbs,symptom,6,6,204,1,15
accompanied by diamond-shaped or polygonal scales,accompanied by diamond-shaped or polygonal scales,symptom,6,6,204,1,15
fish scale-like or snake skin-like appearance,fish scale-like or snake skin-like appearance,symptom,6,6,204,1,15
skin cracks,skin cracks,symptom,6,6,204,1,15
and epidermal stiffness,and epidermal stiffness,symptom,6,6,204,1,15
accentuation of the first heart sound,accentuation of the first heart sound,symptom,11,11,79,1,55
articulatory disorder,articulatory disorder,symptom,20,21,31,0.568421,108
pseudo-athetosis,pseudo-athetosis,symptom,12,12,31,1,66
choreiform athetosis,choreiform athetosis,symptom,12,12,31,1,66
neonatal athetosis,neonatal athetosis,symptom,12,12,31,1,66
irregular choreiform movements,irregular choreiform movements,symptom,12,12,31,1,66
localized muscular hypertonia,localized muscular hypertonia,symptom,12,12,31,1,66
general debilitation,general debilitation,symptom,29,29,79,0.783251,318
chylothorax,chylothorax,symptom,7,7,79,1,21
necrosis in the black eye,necrosis in the black eye,symptom,19,19,1,1,171
bursting of yellow cores from the ulcerated openings,bursting of yellow cores from the ulcerated openings,symptom,19,19,1,1,171
and a black glossy appearance resembling a crab's eye,and a black glossy appearance resembling a crab's eye,symptom,19,19,1,1,171
lumbar back pain,lumbar back pain,symptom,16,16,79,0.591667,71
ants feeling in the shoulder,ants feeling in the shoulder,symptom,11,11,79,1,55
back area,back area,symptom,18,18,79,0.620915,95
hyperhidrosis or anhidrosis,hyperhidrosis or anhidrosis,symptom,11,11,79,1,55
painful flanks,painful flanks,symptom,23,23,31,1,253
feeling of fullness in the abdomen,feeling of fullness in the abdomen,symptom,23,23,31,1,253
damage to both the spleen,damage to both the spleen,symptom,8,8,51,1,28
undigested food particles,undigested food particles,symptom,8,8,51,1,28
moist palms,moist palms,symptom,14,14,126,1,91
excessive head sweating,excessive head sweating,symptom,28,28,126,0.484127,183
and fever,and fever,symptom,26,26,126,0.406154,132
ears red,ears red,symptom,3,3,165,1,3
red eyes with tears,red eyes with tears,symptom,3,3,165,1,3
endocrine disorders,endocrine disorders,symptom,3,3,51,1,3
small oral vesicles,small oral vesicles,symptom,8,8,79,1,28
nevus flammeus,nevus flammeus,symptom,2,2,100,1,1
vascular nevus,vascular nevus,symptom,2,2,100,1,1
bluish discoloration of the extremities,bluish discoloration of the extremities,symptom,10,10,100,1,45
frostbitten,frostbitten,symptom,10,10,100,1,45
swollen fingers,swollen fingers,symptom,10,10,100,1,45
and pain in cold with hard skin lesions becoming itchy when warm,and pain in cold with hard skin lesions becoming itchy when warm,symptom,10,10,100,1,45
the mucosal lesion appears white,the mucosal lesion appears white,symptom,2,2,207,1,1
with an irregular spongy or flaky texture,with an irregular spongy or flaky texture,symptom,2,2,207,1,1
progressive muscular paralysis,progressive muscular paralysis,symptom,18,18,31,1,153
microphthalmia,microphthalmia,symptom,28,29,1,0.391534,148
and retraction of the eyeball,and retraction of the eyeball,symptom,4,4,1,1,6
eye hemorrhage,eye hemorrhage,symptom,2,2,1,1,1
central apnea,central apnea,symptom,11,11,31,1,55
increased anterior fontanelle tension,increased anterior fontanelle tension,symptom,19,23,31,0.619883,106
fundus abnormalities,fundus abnormalities,symptom,11,11,80,1,55
retrograde amnesia,retrograde amnesia,symptom,30,32,31,0.577011,251
itching on the abdomen in pregnant women,itching on the abdomen in pregnant women,symptom,15,15,100,1,105
pearl-like papules,pearl-like papules,symptom,23,25,100,0.600791,152
leaf-shaped depigmentation,leaf-shaped depigmentation,symptom,15,15,100,1,105
commonly occurs on exposed areas such as the face,commonly occurs on exposed areas such as the face,symptom,21,21,100,1,210
blisters have thin walls that are loose,blisters have thin walls that are loose,symptom,21,21,100,1,210
easy to break,easy to break,symptom,21,21,100,1,210
erosions form after rupture,erosions form after rupture,symptom,21,21,100,1,210
and dry to form yellow crusts,and dry to form yellow crusts,symptom,21,21,100,1,210
neck flushing,neck flushing,symptom,11,11,1,1,55
diffuse skin flushing,diffuse skin flushing,symptom,11,11,1,1,55
calf muscle atrophy,calf muscle atrophy,symptom,24,24,207,0.438406,121
muscle underdevelopment,muscle underdevelopment,symptom,2,2,207,1,1
confusion to coma,confusion to coma,symptom,7,7,79,1,21
slowed tendon reflexes,slowed tendon reflexes,symptom,7,7,79,1,21
keratin plug,keratin plug,symptom,13,14,100,0.602564,47
squamous epithelium,squamous epithelium,symptom,17,17,100,0.426471,58
discomfort or slight pain in the precordial area,discomfort or slight pain in the precordial area,symptom,9,9,79,1,36
itching in the eyes,itching in the eyes,symptom,19,19,1,1,171
sudden right upper abdominal colic,sudden right upper abdominal colic,symptom,5,5,51,1,10
cessation of passing gas,cessation of passing gas,symptom,25,34,51,0.593333,178
pigment spots,pigment spots,symptom,26,26,1,0.381538,124
precordial dull pain,precordial dull pain,symptom,20,21,79,0.584211,111
slow breathing,slow breathing,symptom,19,19,79,0.51462,88
difficulty in seeing close objects,difficulty in seeing close objects,symptom,8,8,1,1,28
inability to maintain focus on close tasks,inability to maintain focus on close tasks,symptom,8,8,1,1,28
easy eye fatigue,easy eye fatigue,symptom,8,8,1,1,28
and presence of pus,and presence of pus,symptom,2,2,80,1,1
tonsillar inflammation,tonsillar inflammation,symptom,15,18,0,0.819048,86
tonsils becoming smaller,tonsils becoming smaller,symptom,12,12,0,1,66
tougher,tougher,symptom,12,12,0,1,66
infants snoring during sleep,infants snoring during sleep,symptom,12,12,0,1,66
muscular defense of the abdomen,muscular defense of the abdomen,symptom,9,9,51,1,36
and left abdominal flexure,and left abdominal flexure,symptom,9,9,51,1,36
poor physical resistance,poor physical resistance,symptom,2,2,80,1,1
atrophy of the sternocleidomastoid,atrophy of the sternocleidomastoid,symptom,7,7,31,1,21
trapezius muscles,trapezius muscles,symptom,7,7,31,1,21
glaucoma,glaucoma,symptom,26,26,31,0.575385,187
numbness between the toes,numbness between the toes,symptom,6,6,207,1,15
pain in the foot during flexion,pain in the foot during flexion,symptom,9,11,207,0.666667,24
extension of the toes,extension of the toes,symptom,6,6,207,1,15
bradycardia (slow heart rate),bradycardia (slow heart rate),symptom,5,5,79,1,10
and hypotension (low blood pressure); followed by dizziness,and hypotension (low blood pressure); followed by dizziness,symptom,5,5,79,1,10
and even brief fainting spells,and even brief fainting spells,symptom,5,5,79,1,10
tachycardia at rest,tachycardia at rest,symptom,8,8,79,1,28
painless myocardial infarction,painless myocardial infarction,symptom,8,8,79,1,28
inflammation of the pericardium,inflammation of the pericardium,symptom,11,11,79,1,55
cryptococcus infection,cryptococcus infection,symptom,22,22,1,0.515152,119
extensive chest plaques,extensive chest plaques,symptom,11,11,79,1,55
localized swelling,localized swelling,symptom,34,37,207,0.196078,110
angulation deformities,angulation deformities,symptom,5,5,207,1,10
valvular thickening,valvular thickening,symptom,13,13,79,1,78
valve disease,valve disease,symptom,13,13,79,1,78
senile tremor,senile tremor,symptom,15,21,79,0.904762,95
purplish-black discoloration,purplish-black discoloration,symptom,6,6,207,1,15
abnormal liver,abnormal liver,symptom,6,6,207,1,15
kidney function,kidney function,symptom,11,11,0,0.654545,36
body temperature above 39 degrees celsius,body temperature above 39 degrees celsius,symptom,6,6,79,1,15
painless subcutaneous masses,painless subcutaneous masses,symptom,8,8,132,1,28
with sizes ranging from 12 to 20 cm,with sizes ranging from 12 to 20 cm,symptom,8,8,132,1,28
impaired hand function,impaired hand function,symptom,1,1,0,0,0
and decreased appetite,and decreased appetite,symptom,53,67,79,0.621916,857
inability to control the release of solid stools,inability to control the release of solid stools,symptom,2,2,51,1,1
and gas,and gas,symptom,2,2,51,1,1
bleeding (common skin purpura,bleeding (common skin purpura,symptom,10,10,0,1,45
syndromic visual impairment,syndromic visual impairment,symptom,10,10,0,1,45
transient paralysis,transient paralysis,symptom,23,23,0,0.620553,157
and even coma. heart failure can also occur,and even coma. heart failure can also occur,symptom,10,10,0,1,45
slight purplish discoloration of the lips,slight purplish discoloration of the lips,symptom,10,10,79,1,45
nail beds,nail beds,symptom,14,14,79,0.615385,56
round mass above the adam's apple,round mass above the adam's apple,symptom,11,11,207,1,55
vulvar swelling or progressively enlarging masses,vulvar swelling or progressively enlarging masses,symptom,5,5,80,1,10
skin invasion forming ulcers,skin invasion forming ulcers,symptom,5,5,80,1,10
itchy throat cough,itchy throat cough,symptom,26,31,0,0.827692,269
phlegm in the throat,phlegm in the throat,symptom,41,50,0,0.564634,463
bloody purulent nasal discharge,bloody purulent nasal discharge,symptom,34,34,0,0.641711,360
congenital copper metabolism disorder,congenital copper metabolism disorder,symptom,11,11,31,1,55
kayser-fleischer ring (brown-green pigmentation of the corneal margin),kayser-fleischer ring (brown-green pigmentation of the corneal margin),symptom,11,11,31,1,55
extrapyramidal system damage,extrapyramidal system damage,symptom,24,26,31,0.449275,124
renal tubular reabsorption disorder,renal tubular reabsorption disorder,symptom,11,11,31,1,55
asthenia,asthenia,symptom,32,32,31,0.443548,220
hepatic injury,hepatic injury,symptom,11,11,31,1,55
and hyperreflexia,and hyperreflexia,symptom,11,11,31,1,55
and pain around the hair follicle opening on the skin,and pain around the hair follicle opening on the skin,symptom,2,2,207,1,1
abnormal,abnormal,symptom,5,5,31,1,10
gross dance-like movements,gross dance-like movements,symptom,5,5,31,1,10
intestinal paralysis,intestinal paralysis,symptom,18,18,51,0.816993,125
supravalvular aortic stenosis,supravalvular aortic stenosis,symptom,9,9,79,1,36
long-segment hypoplasia of the ascending aorta,long-segment hypoplasia of the ascending aorta,symptom,20,20,79,0.673684,128
coronary steal phenomenon,coronary steal phenomenon,symptom,9,9,79,1,36
insufficient coronary supply,insufficient coronary supply,symptom,9,9,79,1,36
conductive tinnitus,conductive tinnitus,symptom,1,1,79,0,0
shorter duration of erection,shorter duration of erection,symptom,4,4,80,1,6
decreased pain,decreased pain,symptom,3,3,31,1,3
temperature sensation with preserved pressure sensation,temperature sensation with preserved pressure sensation,symptom,3,3,31,1,3
extremity ulcers,extremity ulcers,symptom,3,3,31,1,3
papillomatous neoplasms,papillomatous neoplasms,symptom,1,1,31,0,0
obvious history of trauma (palms hitting the ground),obvious history of trauma (palms hitting the ground),symptom,3,3,207,1,3
pain in the wrist,pain in the wrist,symptom,3,3,207,1,3
muscle reflexive spasm,muscle reflexive spasm,symptom,4,4,51,1,6
chest wall wounds leading into the thoracic cavity,chest wall wounds leading into the thoracic cavity,symptom,4,4,79,1,6
the skin shows sharply demarcated,the skin shows sharply demarcated,symptom,11,11,0,1,55
tense,tense,symptom,11,11,0,1,55
shiny erythema similar to erysipelas. localized intense pain with fever,shiny erythema similar to erysipelas. localized intense pain with fever,symptom,11,11,0,1,55
symptoms of fatigue are common. the erythema rapidly turns to dark red or purplish-black with large blisters appearing which soon convert into sharply demarcated necrotic patches of skin necrosis,symptoms of fatigue are common. the erythema rapidly turns to dark red or purplish-black with large blisters appearing which soon convert into sharply demarcated necrotic patches of skin necrosis,symptom,11,11,0,1,55
sloughing,sloughing,symptom,11,11,0,1,55
reaching deep into the subcutaneous tissue. scarring occurs during healing,reaching deep into the subcutaneous tissue. scarring occurs during healing,symptom,11,11,0,1,55
easily tired,easily tired,symptom,12,12,79,1,66
nail concavity,nail concavity,symptom,12,12,79,1,66
pallor of skin,pallor of skin,symptom,26,30,79,0.6,195
significant asthma attacks tendencies about 5 days before menstruation,significant asthma attacks tendencies about 5 days before menstruation,symptom,2,2,166,1,1
patients experience chest tightness,patients experience chest tightness,symptom,2,2,166,1,1
symptoms gradually lessen after menstruation commences,symptoms gradually lessen after menstruation commences,symptom,2,2,166,1,1
splenic atrophy,splenic atrophy,symptom,15,15,0,1,105
heterologous protein reaction,heterologous protein reaction,symptom,13,13,51,0.75641,59
appendiceal fibrosis,appendiceal fibrosis,symptom,10,10,51,1,45
persistent severe pain in the right upper abdomen that radiates to the right shoulder,persistent severe pain in the right upper abdomen that radiates to the right shoulder,symptom,10,10,51,1,45
vaginal bleeding with abdominal pain during pregnancy,vaginal bleeding with abdominal pain during pregnancy,symptom,10,10,51,1,45
continuous abdominal pain or back pain during pregnancy,continuous abdominal pain or back pain during pregnancy,symptom,10,10,51,1,45
painless recurrent vaginal bleeding in late pregnancy or near labor,painless recurrent vaginal bleeding in late pregnancy or near labor,symptom,10,10,51,1,45
abdominal pain during pregnancy not caused by pregnancy,abdominal pain during pregnancy not caused by pregnancy,symptom,10,10,51,1,45
stomatitis,stomatitis,symptom,51,58,0,0.424314,541
perianal soft fibroma,perianal soft fibroma,symptom,16,16,51,0.525,63
mental,mental,symptom,4,4,31,1,6
motor developmental delay,motor developmental delay,symptom,4,4,31,1,6
hyperactivity disorder,hyperactivity disorder,symptom,4,4,31,1,6
destructive behavior,destructive behavior,symptom,4,4,31,1,6
limb neurological compression presenting with pain,limb neurological compression presenting with pain,symptom,6,6,31,1,15
spinal pain,spinal pain,symptom,18,18,352,0.562092,86
acid swelling,acid swelling,symptom,6,6,31,1,15
severe cases may lead to spinal cord compression,severe cases may lead to spinal cord compression,symptom,6,6,31,1,15
muscular tension of the abdomen,muscular tension of the abdomen,symptom,7,7,51,1,21
transient fainting episodes from which the patient can spontaneously recover,transient fainting episodes from which the patient can spontaneously recover,symptom,3,3,79,1,3
urinary frequency accompanied by urgency,urinary frequency accompanied by urgency,symptom,16,16,80,0.658333,79
nephritic syndrome facial swelling,nephritic syndrome facial swelling,symptom,6,6,51,1,15
strabismic amblyopia,strabismic amblyopia,symptom,8,8,1,0.321429,9
ipsilateral migraine,ipsilateral migraine,symptom,4,4,1,1,6
little to no phlegm or sticky phlegm,little to no phlegm or sticky phlegm,symptom,8,8,0,1,28
possibly accompanied by blood-tinged sputum,possibly accompanied by blood-tinged sputum,symptom,8,8,0,1,28
headache without sweating,headache without sweating,symptom,8,8,0,1,28
dry nasal passages,dry nasal passages,symptom,8,8,0,1,28
dry lips without thirst,dry lips without thirst,symptom,8,8,0,1,28
aberrant ichthyosis,aberrant ichthyosis,symptom,15,15,100,1,105
scaly plaques,scaly plaques,symptom,15,15,100,1,105
discomfort in the external auditory canal,discomfort in the external auditory canal,symptom,10,10,207,1,45
sensation of blockage in the external auditory canal,sensation of blockage in the external auditory canal,symptom,10,10,207,1,45
and hearing impairment,and hearing impairment,symptom,10,10,207,1,45
inflammatory back pain,inflammatory back pain,symptom,4,4,207,0.333333,2
peripheral arthritis primarily in the lower limbs,peripheral arthritis primarily in the lower limbs,symptom,2,2,207,1,1
enthesopathy,enthesopathy,symptom,2,2,207,1,1
interdigital skin maceration,interdigital skin maceration,symptom,7,7,25,1,21
whitening,whitening,symptom,44,45,207,0.768499,727
or pinhead-sized vesicles,or pinhead-sized vesicles,symptom,7,7,25,1,21
or primarily characterized by scaling,or primarily characterized by scaling,symptom,7,7,25,1,21
occasionally with blisters,occasionally with blisters,symptom,7,7,25,1,21
color vision defects,color vision defects,symptom,10,10,1,1,45
nyctalopia,nyctalopia,symptom,12,13,1,0.727273,48
limb weakness or motor dysfunction,limb weakness or motor dysfunction,symptom,7,7,79,1,21
narrowing of the palpebral fissure,narrowing of the palpebral fissure,symptom,2,2,80,1,1
shallowing of the nasolabial groove,shallowing of the nasolabial groove,symptom,2,2,80,1,1
severe jaundice,severe jaundice,symptom,9,9,51,0.861111,31
presence of protein,presence of protein,symptom,8,8,80,1,28
casts in urine,casts in urine,symptom,18,19,51,0.699346,107
and abdominal mass,and abdominal mass,symptom,16,16,51,0.7,84
and acne,and acne,symptom,2,2,100,1,1
lower abdominal hidden pain,lower abdominal hidden pain,symptom,1,1,80,0,0
and sluggish pupillary light reflex,and sluggish pupillary light reflex,symptom,13,13,79,1,78
pain in the tongue,pain in the tongue,symptom,30,32,100,0.717241,312
black feces with blood,black feces with blood,symptom,12,12,51,1,66
bleeding from the skin,bleeding from the skin,symptom,12,12,51,1,66
vaginal bleeding during pregnancy,vaginal bleeding during pregnancy,symptom,7,7,207,1,21
which can be sporadic,which can be sporadic,symptom,7,7,207,1,21
light,light,symptom,25,25,207,0.386667,116
persistent or intermittent,persistent or intermittent,symptom,7,7,207,1,21
without accompanying lower abdominal pain,without accompanying lower abdominal pain,symptom,7,7,207,1,21
yellow nasal discharge,yellow nasal discharge,symptom,24,26,79,0.478261,132
and thin yellow tongue coating,and thin yellow tongue coating,symptom,7,7,79,1,21
symptoms include palpitations,symptoms include palpitations,symptom,5,5,79,1,10
and sweating after hunger or exercise; progressive weight gain;,and sweating after hunger or exercise; progressive weight gain;,symptom,5,5,79,1,10
decreased memory,decreased memory,symptom,5,5,79,1,10
unresponsiveness,unresponsiveness,symptom,11,11,79,0.545455,30
localized heat,localized heat,symptom,13,13,0,1,78
and iridocyclitis,and iridocyclitis,symptom,13,13,0,1,78
conductive block,conductive block,symptom,25,25,80,1,300
abnormal thoracic cage,abnormal thoracic cage,symptom,12,12,79,1,66
and weakened breath sounds,and weakened breath sounds,symptom,23,23,79,0.762846,193
right upper abdominal pain,right upper abdominal pain,symptom,19,22,51,0.80117,137
postoperative abdominal distension,postoperative abdominal distension,symptom,11,11,51,1,55
intolerance to fatty diet,intolerance to fatty diet,symptom,11,11,51,1,55
simple diarrhea,simple diarrhea,symptom,3,3,51,1,3
hepatic insufficiency,hepatic insufficiency,symptom,20,20,51,1,190
mild hepatic steatosis,mild hepatic steatosis,symptom,45,50,51,0.485859,481
globulin abnormalities,globulin abnormalities,symptom,35,36,51,0.532773,317
cholestasis,cholestasis,symptom,37,42,51,0.60961,406
schistosomal cirrhosis,schistosomal cirrhosis,symptom,20,20,51,1,190
chemical skin burns,chemical skin burns,symptom,12,12,79,0.787879,52
chemical bronchitis,chemical bronchitis,symptom,21,22,79,0.633333,133
morning low back pain,morning low back pain,symptom,3,3,207,1,3
and particularly notable stiff,and particularly notable stiff,symptom,3,3,207,1,3
aching sensation in the lumbar region,aching sensation in the lumbar region,symptom,3,3,207,1,3
edema of the intestinal wall,edema of the intestinal wall,symptom,14,14,51,1,91
arachnodactyly,arachnodactyly,symptom,11,11,31,1,55
nephroptosis,nephroptosis,symptom,11,11,31,1,55
wrist sign,wrist sign,symptom,11,11,31,1,55
lack of facial hair,lack of facial hair,symptom,6,6,80,1,15
late walking in infants,late walking in infants,symptom,19,20,31,0.666667,114
asymmetrical facial size,asymmetrical facial size,symptom,11,11,31,1,55
thrombus formation,thrombus formation,symptom,1,1,51,0,0
ejaculation during sexual intercourse or nocturnal emissions resulting in the discharge of red semen,ejaculation during sexual intercourse or nocturnal emissions resulting in the discharge of red semen,symptom,0,0,167,0,0
poor peripheral tissue perfusion,poor peripheral tissue perfusion,symptom,11,11,79,1,55
pulmonary artery stenosis,pulmonary artery stenosis,symptom,12,12,79,0.833333,55
pulmonary atresia,pulmonary atresia,symptom,23,23,79,0.509881,129
gas exchange disorders,gas exchange disorders,symptom,11,11,79,1,55
right ventricular hypertrophy,right ventricular hypertrophy,symptom,11,11,79,1,55
ejection sounds audible in the pulmonary valve area,ejection sounds audible in the pulmonary valve area,symptom,11,11,79,1,55
heavy head,heavy head,symptom,22,23,51,0.506494,117
the condition is characterized by the sudden onset of high fever,the condition is characterized by the sudden onset of high fever,symptom,7,7,204,1,21
intermittent fever lasting a few days,intermittent fever lasting a few days,symptom,7,7,204,1,21
followed by the appearance of pale red maculopapular rashes that are non-pruritic. the rash begins on the neck,followed by the appearance of pale red maculopapular rashes that are non-pruritic. the rash begins on the neck,symptom,7,7,204,1,21
spreads rapidly over the body within a day,spreads rapidly over the body within a day,symptom,7,7,204,1,21
primarily affecting the trunk,primarily affecting the trunk,symptom,7,7,204,1,21
the buttocks,the buttocks,symptom,7,7,204,1,21
hip area,hip area,symptom,12,12,204,0.469697,31
high plasma cholesterol levels,high plasma cholesterol levels,symptom,4,4,79,1,6
primary biliary cirrhosis,primary biliary cirrhosis,symptom,20,20,51,1,190
kayser-fleischer ring,kayser-fleischer ring,symptom,20,20,51,1,190
hard liver enlargement,hard liver enlargement,symptom,20,20,51,1,190
painless defecation difficulty,painless defecation difficulty,symptom,5,5,51,1,10
lack of defecation sensation,lack of defecation sensation,symptom,5,5,51,1,10
perineal sourness,perineal sourness,symptom,5,5,51,1,10
increased anal canal pressure,increased anal canal pressure,symptom,5,5,51,1,10
purulent or white sputum,purulent or white sputum,symptom,7,7,0,1,21
perineal pain,perineal pain,symptom,22,23,80,0.415584,96
terminal dribbling with a discharge of whitish secretion,terminal dribbling with a discharge of whitish secretion,symptom,7,7,80,1,21
corneal epithelial erosion,corneal epithelial erosion,symptom,5,5,1,0.4,4
corneal dry spots,corneal dry spots,symptom,2,2,1,1,1
glaucomatous flecks,glaucomatous flecks,symptom,2,2,1,1,1
purplish tongue,purplish tongue,symptom,13,13,79,1,78
bluish-purple lips,bluish-purple lips,symptom,13,13,79,1,78
different degrees of cyanosis on the skin,different degrees of cyanosis on the skin,symptom,13,13,79,1,78
ketoacidosis,ketoacidosis,symptom,39,40,51,0.616734,457
mild dyspnea,mild dyspnea,symptom,6,6,79,1,15
reduced physical endurance,reduced physical endurance,symptom,6,6,79,1,15
coarse respiratory sounds,coarse respiratory sounds,symptom,12,13,79,0.621212,41
liver mass,liver mass,symptom,3,3,51,1,3
prolonged bleeding time,prolonged bleeding time,symptom,7,7,80,1,21
intraperitoneal bleeding,intraperitoneal bleeding,symptom,7,7,80,1,21
syncope during swallowing,syncope during swallowing,symptom,7,7,51,1,21
signs of premature birth,signs of premature birth,symptom,5,5,31,1,10
enlarged placenta,enlarged placenta,symptom,5,5,31,1,10
neonatal proteinuria,neonatal proteinuria,symptom,16,16,51,0.625,75
thrombotic vegetations,thrombotic vegetations,symptom,16,16,51,0.7,84
intraosseous lesions,intraosseous lesions,symptom,11,11,51,1,55
microthrombosis,microthrombosis,symptom,11,11,51,1,55
pyrexia,pyrexia,symptom,6,6,80,1,15
discomfort in the lower abdomen,discomfort in the lower abdomen,symptom,12,12,80,0.469697,31
soreness in the lumbosacral area,soreness in the lumbosacral area,symptom,6,6,80,1,15
coldness in the lower extremities,coldness in the lower extremities,symptom,6,6,80,1,15
rapid deterioration of liver function,rapid deterioration of liver function,symptom,5,5,51,1,10
gradually enlarging soft lump in the lumbar region,gradually enlarging soft lump in the lumbar region,symptom,1,1,31,0,0
mental distraction,mental distraction,symptom,2,2,31,1,1
psoas abscess,psoas abscess,symptom,8,8,207,1,28
obligatory prone position,obligatory prone position,symptom,8,8,207,1,28
flat breasts,flat breasts,symptom,5,5,25,0.7,7
a type of red,a type of red,symptom,3,3,80,1,3
grainy papular rash on the skin,grainy papular rash on the skin,symptom,3,3,80,1,3
accompanied by intense itching,accompanied by intense itching,symptom,3,3,80,1,3
a tingling sensation,a tingling sensation,symptom,28,28,80,0.417989,158
the most common sites are fingers,the most common sites are fingers,symptom,3,3,207,1,3
axillary mass,axillary mass,symptom,3,3,207,1,3
subcutaneous fat roughness,subcutaneous fat roughness,symptom,3,3,207,1,3
no obvious nodules,no obvious nodules,symptom,3,3,207,1,3
discomfort on swallowing,discomfort on swallowing,symptom,2,2,51,1,1
more than six café-au-lait spots with a diameter greater than 5mm,more than six café-au-lait spots with a diameter greater than 5mm,symptom,5,5,79,1,10
axillary freckling,axillary freckling,symptom,5,5,79,1,10
uterine tenderness,uterine tenderness,symptom,15,15,79,0.733333,77
purulent cervical discharge,purulent cervical discharge,symptom,3,3,0,1,3
foul-smelling amniotic fluid,foul-smelling amniotic fluid,symptom,3,3,0,1,3
severe abdominal pain,severe abdominal pain,symptom,13,15,51,0.551282,43
and renal percussion tenderness,and renal percussion tenderness,symptom,7,7,51,1,21
shoulder trauma,shoulder trauma,symptom,4,4,207,1,6
inability to bear weight,inability to bear weight,symptom,10,11,207,0.644444,29
persistent symmetrical tingling numbness in the fingertips,persistent symmetrical tingling numbness in the fingertips,symptom,13,13,31,1,78
sensory ataxia,sensory ataxia,symptom,41,50,31,0.415854,341
